hora,fecha,año,calle,cruce,tipo_accidente,causa_accidente,lesionados,fallecidos,totales,lat,lon
19:04:00,14/09/2018,2018,MORONES PRIETO,CANTERAS,Atropello,Sin Dato,1,0,1,25.671193,-100.39621
20:24:00,21/12/2018,2018,MORONES PRIETO,HUMBERTO LOBO,Atropello,Viro indebidamente,1,0,1,25.667672,-100.37983
12:25:00,22/01/2019,2019,MORONES PRIETO,SAN PATRICIO,Atropello,Distraccion,1,0,1,25.670149,-100.38821
23:56:00,06/06/2019,2019,MORONES PRIETO,BENITO JUAREZ,Atropello,Sin Dato,1,0,1,25.671046,-100.398
10:29:00,20/09/2016,2016,ORO,COBALTO,Atropello,Viro indebidamente,1,0,1,25.683339,-100.416602
16:54:00,02/08/2017,2017,ORO,LAS TORRES,Atropello,Otros,1,0,1,25.680236,-100.416903
21:34:00,02/08/2019,2019,ORO,LAS TORRES,Atropello,Otros,2,0,2,25.680236,-100.416903
16:49:00,28/05/2016,2016,PASEO OLGA,LAZARO CARDENAS,Atropello,Distraccion,1,0,1,25.64289,-100.319520
20:19:00,23/12/2019,2019,PLATINO,COBALTO,Atropello,Distraccion,1,0,1,25.683256,-100.415781
11:13:00,29/05/2018,2018,PLOMO,ALUMINIO,Atropello,Distraccion,2,0,2,25.682106,-100.416345
8:20:00,10/03/2017,2017,PLUTARCO ELIAS CALLES,BENITO JUAREZ,Atropello,Otros,1,0,1,25.644097,-100.386775
18:46:00,25/01/2019,2019,PLUTARCO ELIAS CALLES,JOSE VASCONCELOS,Atropello,Viro indebidamente,1,0,1,25.653702,-100.381073
20:17:00,20/07/2018,2018,PUEBLA,IGNACIO ALLENDE,Atropello,Viro indebidamente,1,0,1,25.658071,-100.409277
10:00,10/05/2015,2015,REAL SAN AGUSTIN,LAZARO CARDENAS,Atropello,Otros,2,0,2,25.653808,-100.338059
8:20,15/06/2015,2015,REAL SAN AGUSTIN,LAZARO CARDENAS,Atropello,Otros,1,0,1,25.653808,-100.338059
8:20:00,11/04/2017,2017,REAL SAN AGUSTIN,MONTES ROCALLOSOS,Atropello,Otros,1,0,1,25.652007,-100.339145
17:19:00,06/09/2017,2017,REAL SAN AGUSTIN,MONTES APALACHES,Atropello,Distraccion,1,0,1,25.651503,-100.339273
14:13:00,10/03/2018,2018,REAL SAN AGUSTIN,LAMPAZOS,Atropello,Viro indebidamente,1,0,1,25.645095,-100.339031
9:54:00,01/09/2018,2018,REAL SAN AGUSTIN,LAMPAZOS,Atropello,Distraccion,1,0,1,25.645095,-100.339031
8:28,10/05/2015,2015,REFORMA,BENITO JUAREZ,Atropello,Otros,1,0,1,25.664117,-100.402767
2:17:00,21/12/2019,2019,RICARDO MARGAIN,ROBLE,Atropello,Otros,0,1,1,25.650227,-100.352771
15:45,04/10/2015,2015,RICARDO MARGAIN,PRIVADA FUENTES,Atropello,Sin Dato,1,0,1,25.660438,-100.352583
1:19:00,11/08/2018,2018,RICARDO MARGAIN,ARBOL,Atropello,Otros,1,0,1,25.655412,-100.352716
18:12:00,28/03/2018,2018,RIO AMAZONAS,CALZADA SAN PEDRO,Atropello,Otros,2,0,2,25.661482,-100.36883
9:24:00,07/05/2017,2017,RIO CAURA,CALZADA DEL VALLE,Atropello,Otros,1,0,1,25.654703,-100.362233
16:05,22/01/2015,2015,RIO COLORADO,RIO MOCTEZUMA,Atropello,Viro indebidamente,1,0,1,25.658351,-100.362182
11:20:00,22/06/2017,2017,RIO DE LA PLATA,HUMBERTO LOBO,Atropello,Otros,1,0,1,25.661945,-100.382708
13:31:00,16/02/2018,2018,RIO GRIJALVA,RIO MISSISSIPPI,Atropello,Viro indebidamente,1,0,1,25.659105,-100.36815
16:57:00,27/06/2019,2019,RIO GRIJALVA,RIO MISSISSIPPI,Atropello,Otros,1,0,1,25.659105,-100.36815
4:08,01/10/2015,2015,RIO MISSISSIPPI,RIO GRIJALVA,Atropello,Otros,1,0,1,25.659105,-100.368154
